Start,End
7347277,7515698
7621898,7791399
7999420,8039741
8322282,8467723
8707364,8763224
9028005,9388727
9425327,9504708
9526728,9681409
10306732,10917475
11999220,12018600
12176161,12280382
12605823,12609663
12698044,12704464
13025465,13032966
13100346,13106826
13209726,13214946
13251427,13259227
