pico_Interval Start,pico_Interval End,pico_Interval Duration
458.85356666666667,471.78616666666665,12.9326
484.0065333333333,486.01773333333335,2.0112
507.8765,507.87676666666664,0.0002666666666666667
507.87743333333333,527.3734,19.495966666666668
539.0882333333333,539.0906333333334,0.0024
570.6454,570.6456,0.0002
603.9858,603.9882,0.0024
712.0985333333333,712.0986,6.666666666666667e-05
712.0985333333333,712.0986,6.666666666666667e-05
712.0986666666666,712.0986666666666,0.0
712.0988,712.0988,0.0
712.0988666666667,712.0989333333333,6.666666666666667e-05
712.0992,712.0993333333333,0.00013333333333333334
712.0992,712.0993333333333,0.00013333333333333334
712.0994666666667,712.0994666666667,0.0
712.0996,712.0996666666666,6.666666666666667e-05
712.0997333333333,712.1,0.0002666666666666667
712.1000666666666,712.1002,0.00013333333333333334
712.1002666666667,712.1002666666667,0.0
712.1003333333333,712.1004666666666,0.00013333333333333334
712.1006666666667,712.1006666666667,0.0
712.1008,712.1008,0.0
712.1013333333333,712.1013333333333,0.0
712.1014,712.1014666666666,6.666666666666667e-05
712.1016,712.1017333333333,0.00013333333333333334
712.1016,712.1017333333333,0.00013333333333333334
712.1018666666666,712.1019333333334,6.666666666666667e-05
712.1018666666666,712.1019333333334,6.666666666666667e-05
712.102,712.1020666666667,6.666666666666667e-05
712.1021333333333,712.1021333333333,0.0
712.1022666666667,712.1024,0.00013333333333333334
712.1024,712.1024,0.0
712.1024,712.1024,0.0
712.1024666666667,712.1025333333333,6.666666666666667e-05
712.1026,712.1026666666667,6.666666666666667e-05
712.1028,712.1028666666666,6.666666666666667e-05
712.1028,712.1028666666666,6.666666666666667e-05
712.1032,712.1032666666666,6.666666666666667e-05
712.1032,712.1032666666666,6.666666666666667e-05
712.1033333333334,712.1033333333334,0.0
712.1034666666667,712.1036666666666,0.0002
712.1034666666667,712.1036666666666,0.0002
712.1037333333334,712.1037333333334,0.0
712.104,712.104,0.0
712.104,712.104,0.0
712.1040666666667,712.1041333333334,6.666666666666667e-05
712.1044,712.1045333333333,0.00013333333333333334
712.1045333333333,712.1046,6.666666666666667e-05
712.1045333333333,712.1046,6.666666666666667e-05
712.1046666666666,712.1047333333333,6.666666666666667e-05
712.1048,712.1048,0.0
712.1049333333333,712.1049333333333,0.0
712.1050666666666,712.1050666666666,0.0
712.1053333333333,712.1054666666666,0.00013333333333333334
712.1053333333333,712.1054666666666,0.00013333333333333334
712.1057333333333,712.1058,6.666666666666667e-05
712.1057333333333,712.1058,6.666666666666667e-05
712.1058666666667,712.1059333333334,6.666666666666667e-05
712.1061333333333,712.1062666666667,0.00013333333333333334
712.1062666666667,712.1064,0.00013333333333333334
712.1064,712.1064666666666,6.666666666666667e-05
712.1064,712.1064666666666,6.666666666666667e-05
712.1065333333333,712.1065333333333,0.0
712.1066666666667,712.1068,0.00013333333333333334
712.1068,712.1068666666666,6.666666666666667e-05
712.1068,712.1068666666666,6.666666666666667e-05
712.1069333333334,712.107,6.666666666666667e-05
712.1070666666667,712.1071333333333,6.666666666666667e-05
712.1072,712.1072666666666,6.666666666666667e-05
712.1073333333334,712.1073333333334,0.0
712.1074666666667,712.1074666666667,0.0
712.1074666666667,712.1074666666667,0.0
712.1076,712.1078,0.0002
712.1078666666667,712.1079333333333,6.666666666666667e-05
712.108,712.1081333333333,0.00013333333333333334
712.1081333333333,712.1082666666666,0.00013333333333333334
712.1081333333333,712.1082666666666,0.00013333333333333334
712.1084,712.1084,0.0
712.1084666666667,712.1085333333333,6.666666666666667e-05
712.1086666666666,712.1086666666666,0.0
712.1088,712.1088666666667,6.666666666666667e-05
712.1090666666666,712.1091333333334,6.666666666666667e-05
712.1094666666667,712.1095333333334,6.666666666666667e-05
