pico_Interval Start,pico_Interval End,pico_Interval Duration
25662094.000,25665094.000,3000.000
25668094.000,25671094.000,3000.000
25674096.000,25677096.000,3000.000
25680094.000,25683094.000,3000.000
25686094.000,25689094.000,3000.000
25692094.000,25695096.000,3002.000
25698096.000,25701096.000,3000.000
25704094.000,25707094.000,3000.000
25710094.000,25713094.000,3000.000
25716096.000,25719096.000,3000.000
25722096.000,25725094.000,2998.000
25728094.000,25731094.000,3000.000
25734096.000,25737096.000,3000.000
25740096.000,25743096.000,3000.000
25746094.000,25749094.000,3000.000
25752094.000,25755096.000,3002.000
25758096.000,25761096.000,3000.000
25764096.000,25767094.000,2998.000
25770094.000,25773094.000,3000.000
25776096.000,25779096.000,3000.000
25782096.000,25785096.000,3000.000
25788094.000,25791094.000,3000.000
25794096.000,25797096.000,3000.000
25800096.000,25803096.000,3000.000
25806096.000,25809094.000,2998.000
25812094.000,25815096.000,3002.000
25818096.000,25821096.000,3000.000
25824096.000,25827096.000,3000.000
25830096.000,25833094.000,2998.000
25836096.000,25839096.000,3000.000
25841648.000,25842428.000,780.000
25842940.000,25843358.000,418.000
25843724.000,25844036.000,312.000
25844340.000,25844640.000,300.000
25844940.000,25845240.000,300.000
25845540.000,25845840.000,300.000
25846140.000,25846440.000,300.000
25846740.000,25847040.000,300.000
25847340.000,25847640.000,300.000
25847940.000,25848240.000,300.000
25848540.000,25848840.000,300.000
25849140.000,25849440.000,300.000
25849740.000,25850040.000,300.000
25850340.000,25850640.000,300.000
25850940.000,25851240.000,300.000
25851540.000,25851840.000,300.000
25852140.000,25852440.000,300.000
25852740.000,25853040.000,300.000
25853340.000,25853640.000,300.000
25853940.000,25854240.000,300.000
25854540.000,25854840.000,300.000
25855140.000,25855440.000,300.000
25855740.000,25856040.000,300.000
25856340.000,25856640.000,300.000
25856940.000,25857240.000,300.000
25857540.000,25857840.000,300.000
25858140.000,25858440.000,300.000
25858740.000,25859040.000,300.000
25859340.000,25859640.000,300.000
25859940.000,25860240.000,300.000
25860540.000,25860840.000,300.000
25861140.000,25861440.000,300.000
25861740.000,25862040.000,300.000
25862340.000,25862640.000,300.000
25862940.000,25863240.000,300.000
25863540.000,25863840.000,300.000
25864140.000,25864440.000,300.000
25864740.000,25865040.000,300.000
25865340.000,25865640.000,300.000
25865940.000,25866240.000,300.000
25866540.000,25866840.000,300.000
25867140.000,25867440.000,300.000
25867740.000,25868040.000,300.000
25868340.000,25868640.000,300.000
25868940.000,25869240.000,300.000
25869540.000,25869840.000,300.000
25870140.000,25870440.000,300.000
25870740.000,25871040.000,300.000
25871340.000,25871640.000,300.000
25871940.000,25872240.000,300.000
25872540.000,25872840.000,300.000
25873140.000,25873440.000,300.000
25873740.000,25874040.000,300.000
25874340.000,25874640.000,300.000
25874940.000,25875240.000,300.000
25875540.000,25875840.000,300.000
25876140.000,25876440.000,300.000
25876740.000,25877040.000,300.000
25877340.000,25877640.000,300.000
25877940.000,25878240.000,300.000
25878540.000,25878840.000,300.000
25879140.000,25879440.000,300.000
25879740.000,25880040.000,300.000
25880340.000,25880640.000,300.000
25880940.000,25881240.000,300.000
25881540.000,25881840.000,300.000
25882140.000,25882440.000,300.000
25882740.000,25883040.000,300.000
25883340.000,25883640.000,300.000
25883940.000,25884240.000,300.000
25884540.000,25884840.000,300.000
25885140.000,25885440.000,300.000
25885740.000,25886040.000,300.000
25886340.000,25886640.000,300.000
25886940.000,25887240.000,300.000
25887540.000,25887840.000,300.000
25888140.000,25888440.000,300.000
25888740.000,25889040.000,300.000
25889340.000,25889640.000,300.000
25889940.000,25890240.000,300.000
25890540.000,25890840.000,300.000
25891140.000,25891440.000,300.000
25891740.000,25892040.000,300.000
25892340.000,25892640.000,300.000
25892940.000,25893240.000,300.000
25893540.000,25893840.000,300.000
25894140.000,25894440.000,300.000
25894740.000,25895040.000,300.000
25895340.000,25895640.000,300.000
25895940.000,25896240.000,300.000
25896540.000,25896840.000,300.000
25897140.000,25897440.000,300.000
25897740.000,25898040.000,300.000
25898340.000,25898640.000,300.000
25898940.000,25899240.000,300.000
25899540.000,25899840.000,300.000
25900140.000,25900440.000,300.000
25900740.000,25901040.000,300.000
25901340.000,25901640.000,300.000
25901940.000,25902240.000,300.000
25902540.000,25902840.000,300.000
25903140.000,25903440.000,300.000
25903740.000,25904040.000,300.000
25904340.000,25904640.000,300.000
25904940.000,25905240.000,300.000
25905540.000,25905840.000,300.000
25906140.000,25906440.000,300.000
25906740.000,25907040.000,300.000
25907340.000,25907640.000,300.000
25907940.000,25908240.000,300.000
25908540.000,25908840.000,300.000
25909140.000,25909440.000,300.000
25909740.000,25910042.000,302.000
25910340.000,25910640.000,300.000
25910940.000,25911240.000,300.000
25911540.000,25911840.000,300.000
25912140.000,25912440.000,300.000
25912742.000,25913040.000,298.000
25913340.000,25913640.000,300.000
25913940.000,25914240.000,300.000
25914540.000,25914842.000,302.000
25915140.000,25915442.000,302.000
25915740.000,25916040.000,300.000
25916340.000,25916640.000,300.000
25916940.000,25917240.000,300.000
25917542.000,25917840.000,298.000
25918142.000,25918440.000,298.000
25918742.000,25919040.000,298.000
25919340.000,25919642.000,302.000
25919940.000,25920242.000,302.000
25920540.000,25920842.000,302.000
25921140.000,25921442.000,302.000
25921740.000,25922040.000,300.000
25922342.000,25922640.000,298.000
25922942.000,25923240.000,298.000
25923542.000,25923840.000,298.000
25924142.000,25924442.000,300.000
25924740.000,25925042.000,302.000
25925340.000,25925642.000,302.000
25925940.000,25926242.000,302.000
25926540.000,25926842.000,302.000
25927142.000,25927442.000,300.000
25927742.000,25928040.000,298.000
25928342.000,25928640.000,298.000
25928942.000,25929242.000,300.000
25929542.000,25929842.000,300.000
25930142.000,25930442.000,300.000
25930740.000,25931042.000,302.000
25931340.000,25931642.000,302.000
